k,img,e_abs,e_rel,delta,resid,psnr,inner_k,inner_cum,tv_ratio,ref_check,alpha,beta,m_k
25,2,8.679537e-02,1.991664e-03,3.108068e-02,1.201218e-01,2.386367e+01,1.000000e+00,1.100000e+02,9.994882e-01,nan,2.278246e-01,1.923077e-03,1.000000e+00
26,0,nan,nan,2.325649e-04,nan,2.427247e+01,0.000000e+00,1.100000e+02,1.004495e+00,nan,3.442920e-03,1.851852e-03,0.000000e+00
26,1,nan,nan,2.572103e-04,nan,2.379708e+01,0.000000e+00,1.100000e+02,9.998656e-01,nan,2.241828e-03,1.851852e-03,0.000000e+00
26,2,nan,nan,2.785430e-04,nan,2.386382e+01,0.000000e+00,1.100000e+02,9.994882e-01,nan,2.206744e-03,1.851852e-03,0.000000e+00
27,0,nan,nan,2.160082e-04,nan,2.427250e+01,0.000000e+00,1.100000e+02,1.004495e+00,nan,2.742268e-01,1.785714e-03,0.000000e+00
27,1,nan,nan,2.391451e-04,nan,2.379722e+01,0.000000e+00,1.100000e+02,9.998656e-01,nan,2.479508e-01,1.785714e-03,0.000000e+00
27,2,nan,nan,2.589430e-04,nan,2.386397e+01,0.000000e+00,1.100000e+02,9.994882e-01,nan,2.289611e-01,1.785714e-03,0.000000e+00
28,0,nan,nan,2.010454e-04,nan,2.427253e+01,0.000000e+00,1.100000e+02,1.004495e+00,nan,2.752351e-01,1.724138e-03,0.000000e+00
28,1,nan,nan,2.222702e-04,nan,2.379735e+01,0.000000e+00,1.100000e+02,9.998656e-01,nan,2.486065e-01,1.724138e-03,0.000000e+00
28,2,nan,nan,2.407538e-04,nan,2.386411e+01,0.000000e+00,1.100000e+02,9.994882e-01,nan,2.295989e-01,1.724138e-03,0.000000e+00
29,0,nan,nan,1.876161e-04,nan,2.427255e+01,0.000000e+00,1.100000e+02,1.004495e+00,nan,2.763333e-01,1.666667e-03,0.000000e+00
29,1,nan,nan,2.073558e-04,nan,2.379747e+01,0.000000e+00,1.100000e+02,9.998656e-01,nan,2.499461e-01,1.666667e-03,0.000000e+00
29,2,nan,nan,2.244705e-04,nan,2.386423e+01,0.000000e+00,1.100000e+02,9.994882e-01,nan,2.307567e-01,1.666667e-03,0.000000e+00
30,0,7.392722e-02,4.932828e-03,1.755251e-04,7.623011e-02,2.427257e+01,0.000000e+00,1.100000e+02,1.004495e+00,nan,2.773170e-01,1.612903e-03,0.000000e+00
30,1,1.135343e-01,2.799693e-03,1.941512e-04,1.183452e-01,2.379758e+01,0.000000e+00,1.100000e+02,9.998656e-01,nan,2.509172e-01,1.612903e-03,0.000000e+00
30,2,1.151901e-01,2.642838e-03,2.102955e-04,1.200007e-01,2.386435e+01,0.000000e+00,1.100000e+02,9.994882e-01,nan,2.317861e-01,1.612903e-03,0.000000e+00
31,0,nan,nan,1.646477e-04,nan,2.427259e+01,0.000000e+00,1.100000e+02,1.004495e+00,nan,2.781832e-01,1.562500e-03,0.000000e+00
31,1,nan,nan,1.822418e-04,nan,2.379769e+01,0.000000e+00,1.100000e+02,9.998656e-01,nan,2.514953e-01,1.562500e-03,0.000000e+00
31,2,nan,nan,1.973527e-04,nan,2.386446e+01,0.000000e+00,1.100000e+02,9.994882e-01,nan,2.321882e-01,1.562500e-03,0.000000e+00
32,0,nan,nan,1.545266e-04,nan,2.427261e+01,0.000000e+00,1.100000e+02,1.004495e+00,nan,2.788602e-01,1.515151e-03,0.000000e+00
32,1,nan,nan,1.706852e-04,nan,2.379779e+01,0.000000e+00,1.100000e+02,9.998656e-01,nan,2.519382e-01,1.515151e-03,0.000000e+00
32,2,nan,nan,1.849018e-04,nan,2.386456e+01,0.000000e+00,1.100000e+02,9.994882e-01,nan,2.326479e-01,1.515151e-03,0.000000e+00
33,0,nan,nan,1.455802e-04,nan,2.427262e+01,0.000000e+00,1.100000e+02,1.004495e+00,nan,2.799039e-01,1.470588e-03,0.000000e+00
33,1,nan,nan,1.611979e-04,nan,2.379788e+01,0.000000e+00,1.100000e+02,9.998656e-01,nan,2.534057e-01,1.470588e-03,0.000000e+00
33,2,nan,nan,1.745585e-04,nan,2.386466e+01,0.000000e+00,1.100000e+02,9.994882e-01,nan,2.339220e-01,1.470588e-03,0.000000e+00
34,0,nan,nan,1.372013e-04,nan,2.427264e+01,0.000000e+00,1.100000e+02,1.004495e+00,nan,2.803700e-01,1.428571e-03,0.000000e+00
34,1,nan,nan,1.518089e-04,nan,2.379797e+01,0.000000e+00,1.100000e+02,9.998656e-01,nan,2.532063e-01,1.428571e-03,0.000000e+00
34,2,nan,nan,1.643025e-04,nan,2.386475e+01,0.000000e+00,1.100000e+02,9.994882e-01,nan,2.338261e-01,1.428571e-03,0.000000e+00
35,0,7.421806e-02,4.952190e-03,1.294423e-04,7.618587e-02,2.427266e+01,0.000000e+00,1.100000e+02,1.004495e+00,nan,2.811944e-01,1.388889e-03,0.000000e+00
35,1,1.141298e-01,2.814363e-03,1.426393e-04,1.182593e-01,2.379805e+01,0.000000e+00,1.100000e+02,9.998656e-01,nan,2.541369e-01,1.388889e-03,0.000000e+00
35,2,1.157861e-01,2.656498e-03,1.546113e-04,1.199145e-01,2.386484e+01,0.000000e+00,1.100000e+02,9.994882e-01,nan,2.348123e-01,1.388889e-03,0.000000e+00
36,0,nan,nan,1.226240e-04,nan,2.427267e+01,0.000000e+00,1.100000e+02,1.004495e+00,nan,2.821566e-01,1.351351e-03,0.000000e+00
36,1,nan,nan,1.357737e-04,nan,2.379813e+01,0.000000e+00,1.100000e+02,9.998656e-01,nan,2.560516e-01,1.351351e-03,0.000000e+00
36,2,nan,nan,1.469988e-04,nan,2.386492e+01,0.000000e+00,1.100000e+02,9.994882e-01,nan,2.362247e-01,1.351351e-03,0.000000e+00
37,0,nan,nan,1.161522e-04,nan,2.427269e+01,0.000000e+00,1.100000e+02,1.004495e+00,nan,2.823758e-01,1.315790e-03,0.000000e+00
37,1,nan,nan,1.286913e-04,nan,2.379820e+01,0.000000e+00,1.100000e+02,9.998656e-01,nan,2.550275e-01,1.315790e-03,0.000000e+00
37,2,nan,nan,1.393501e-04,nan,2.386500e+01,0.000000e+00,1.100000e+02,9.994882e-01,nan,2.355532e-01,1.315790e-03,0.000000e+00
38,0,nan,nan,1.101625e-04,nan,2.427270e+01,0.000000e+00,1.100000e+02,1.004495e+00,nan,2.830176e-01,1.282051e-03,0.000000e+00
38,1,nan,nan,1.218066e-04,nan,2.379827e+01,0.000000e+00,1.100000e+02,9.998656e-01,nan,2.554417e-01,1.282051e-03,0.000000e+00
38,2,nan,nan,1.318964e-04,nan,2.386507e+01,0.000000e+00,1.100000e+02,9.994882e-01,nan,2.359031e-01,1.282051e-03,0.000000e+00
39,0,nan,nan,1.045274e-04,nan,2.427271e+01,0.000000e+00,1.100000e+02,1.004495e+00,nan,2.836719e-01,1.250000e-03,0.000000e+00
39,1,nan,nan,1.151666e-04,nan,2.379834e+01,0.000000e+00,1.100000e+02,9.998656e-01,nan,2.565542e-01,1.250000e-03,0.000000e+00
39,2,nan,nan,1.247595e-04,nan,2.386514e+01,0.000000e+00,1.100000e+02,9.994882e-01,nan,2.369285e-01,1.250000e-03,0.000000e+00
40,0,7.443670e-02,4.966747e-03,9.963731e-05,7.615479e-02,2.427272e+01,0.000000e+00,1.100000e+02,1.004495e+00,nan,2.845590e-01,1.219512e-03,0.000000e+00
40,1,1.145777e-01,2.825396e-03,1.104906e-04,1.181947e-01,2.379840e+01,0.000000e+00,1.100000e+02,9.998656e-01,nan,2.582711e-01,1.219512e-03,0.000000e+00
40,2,1.162339e-01,2.666762e-03,1.196473e-04,1.198496e-01,2.386521e+01,0.000000e+00,1.100000e+02,9.994882e-01,nan,2.384122e-01,1.219512e-03,0.000000e+00
41,0,nan,nan,9.478597e-05,nan,2.427274e+01,0.000000e+00,1.100000e+02,1.004495e+00,nan,2.844785e-01,1.190476e-03,0.000000e+00
41,1,nan,nan,1.047852e-04,nan,2.379846e+01,0.000000e+00,1.100000e+02,9.998656e-01,nan,2.565348e-01,1.190476e-03,0.000000e+00
41,2,nan,nan,1.133694e-04,nan,2.386527e+01,0.000000e+00,1.100000e+02,9.994882e-01,nan,2.369018e-01,1.190476e-03,0.000000e+00
42,0,nan,nan,9.049187e-05,nan,2.427275e+01,0.000000e+00,1.100000e+02,1.004495e+00,nan,2.852916e-01,1.162791e-03,0.000000e+00
42,1,nan,nan,1.004209e-04,nan,2.379852e+01,0.000000e+00,1.100000e+02,9.998656e-01,nan,2.580674e-01,1.162791e-03,0.000000e+00
42,2,nan,nan,1.087538e-04,nan,2.386534e+01,0.000000e+00,1.100000e+02,9.994882e-01,nan,2.385268e-01,1.162791e-03,0.000000e+00
43,0,nan,nan,8.622732e-05,nan,2.427275e+01,0.000000e+00,1.100000e+02,1.004495e+00,nan,2.854007e-01,1.136364e-03,0.000000e+00
43,1,nan,nan,9.507745e-05,nan,2.379857e+01,0.000000e+00,1.100000e+02,9.998656e-01,nan,2.571820e-01,1.136364e-03,0.000000e+00
43,2,nan,nan,1.030423e-04,nan,2.386539e+01,0.000000e+00,1.100000e+02,9.994882e-01,nan,2.374762e-01,1.136364e-03,0.000000e+00
44,0,nan,nan,8.249268e-05,nan,2.427277e+01,0.000000e+00,1.100000e+02,1.004495e+00,nan,2.863519e-01,1.111111e-03,0.000000e+00
44,1,nan,nan,9.149416e-05,nan,2.379863e+01,0.000000e+00,1.100000e+02,9.998656e-01,nan,2.596973e-01,1.111111e-03,0.000000e+00
44,2,nan,nan,9.900880e-05,nan,2.386545e+01,0.000000e+00,1.100000e+02,9.994882e-01,nan,2.396235e-01,1.111111e-03,0.000000e+00
45,0,7.460745e-02,4.978116e-03,7.884789e-05,7.613163e-02,2.427278e+01,0.000000e+00,1.100000e+02,1.004495e+00,nan,2.864435e-01,1.086956e-03,0.000000e+00
45,1,1.149273e-01,2.834005e-03,8.704643e-05,1.181444e-01,2.379868e+01,0.000000e+00,1.100000e+02,9.998656e-01,nan,2.582623e-01,1.086956e-03,0.000000e+00
45,2,1.165835e-01,2.674776e-03,9.434843e-05,1.197994e-01,2.386550e+01,0.000000e+00,1.100000e+02,9.994882e-01,nan,2.386605e-01,1.086956e-03,0.000000e+00
46,0,nan,nan,7.549002e-05,nan,2.427279e+01,0.000000e+00,1.100000e+02,1.004495e+00,nan,2.870677e-01,1.063830e-03,0.000000e+00
46,1,nan,nan,8.355419e-05,nan,2.379872e+01,0.000000e+00,1.100000e+02,9.998656e-01,nan,2.600299e-01,1.063830e-03,0.000000e+00
46,2,nan,nan,9.044152e-05,nan,2.386555e+01,0.000000e+00,1.100000e+02,9.994882e-01,nan,2.399052e-01,1.063830e-03,0.000000e+00
47,0,nan,nan,7.242860e-05,nan,2.427279e+01,0.000000e+00,1.100000e+02,1.004495e+00,nan,2.874736e-01,1.041667e-03,0.000000e+00
47,1,nan,nan,8.017124e-05,nan,2.379877e+01,0.000000e+00,1.100000e+02,9.998656e-01,nan,2.597283e-01,1.041667e-03,0.000000e+00
47,2,nan,nan,8.680080e-05,nan,2.386560e+01,0.000000e+00,1.100000e+02,9.994882e-01,nan,2.399494e-01,1.041667e-03,0.000000e+00
48,0,nan,nan,6.927438e-05,nan,2.427280e+01,0.000000e+00,1.100000e+02,1.004495e+00,nan,2.875198e-01,1.020408e-03,0.000000e+00
48,1,nan,nan,7.620073e-05,nan,2.379881e+01,0.000000e+00,1.100000e+02,9.998656e-01,nan,2.597522e-01,1.020408e-03,0.000000e+00
48,2,nan,nan,8.264181e-05,nan,2.386564e+01,0.000000e+00,1.100000e+02,9.994882e-01,nan,2.399132e-01,1.020408e-03,0.000000e+00
49,0,nan,nan,6.675269e-05,nan,2.427281e+01,0.000000e+00,1.100000e+02,1.004495e+00,nan,2.887070e-01,1.000000e-03,0.000000e+00
49,1,nan,nan,7.425478e-05,nan,2.379886e+01,0.000000e+00,1.100000e+02,9.998656e-01,nan,2.624647e-01,1.000000e-03,0.000000e+00
49,2,nan,nan,8.031345e-05,nan,2.386569e+01,0.000000e+00,1.100000e+02,9.994882e-01,nan,2.420082e-01,1.000000e-03,0.000000e+00
50,0,7.474429e-02,4.987226e-03,6.401814e-05,7.611414e-02,2.427282e+01,0.000000e+00,1.100000e+02,1.004495e+00,nan,2.879791e-01,9.803922e-04,0.000000e+00
50,1,1.152069e-01,2.840893e-03,7.088208e-05,1.181041e-01,2.379890e+01,0.000000e+00,1.100000e+02,9.998656e-01,nan,2.588840e-01,9.803922e-04,0.000000e+00
50,2,1.168634e-01,2.681192e-03,7.670207e-05,1.197592e-01,2.386573e+01,0.000000e+00,1.100000e+02,9.994882e-01,nan,2.393544e-01,9.803922e-04,0.000000e+00
51,0,nan,nan,6.153848e-05,nan,2.427282e+01,0.000000e+00,1.100000e+02,1.004495e+00,nan,2.888420e-01,9.615385e-04,0.000000e+00
51,1,nan,nan,6.781209e-05,nan,2.379893e+01,0.000000e+00,1.100000e+02,9.998656e-01,nan,2.608716e-01,9.615385e-04,0.000000e+00
51,2,nan,nan,7.358173e-05,nan,2.386578e+01,0.000000e+00,1.100000e+02,9.994882e-01,nan,2.410773e-01,9.615385e-04,0.000000e+00
52,0,nan,nan,5.916961e-05,nan,2.427283e+01,0.000000e+00,1.100000e+02,1.004495e+00,nan,2.892488e-01,9.433962e-04,0.000000e+00
52,1,nan,nan,6.520897e-05,nan,2.379897e+01,0.000000e+00,1.100000e+02,9.998656e-01,nan,2.624890e-01,9.433962e-04,0.000000e+00
52,2,nan,nan,7.061678e-05,nan,2.386581e+01,0.000000e+00,1.100000e+02,9.994882e-01,nan,2.419069e-01,9.433962e-04,0.000000e+00
53,0,nan,nan,5.721985e-05,nan,2.427284e+01,0.000000e+00,1.100000e+02,1.004495e+00,nan,2.897903e-01,9.259259e-04,0.000000e+00
53,1,nan,nan,6.386782e-05,nan,2.379901e+01,0.000000e+00,1.100000e+02,9.998656e-01,nan,2.629512e-01,9.259259e-04,0.000000e+00
53,2,nan,nan,6.911434e-05,nan,2.386585e+01,0.000000e+00,1.100000e+02,9.994882e-01,nan,2.428145e-01,9.259259e-04,0.000000e+00
54,0,nan,nan,5.488623e-05,nan,2.427284e+01,0.000000e+00,1.100000e+02,1.004495e+00,nan,2.888670e-01,9.090909e-04,0.000000e+00
54,1,nan,nan,6.046405e-05,nan,2.379905e+01,0.000000e+00,1.100000e+02,9.998656e-01,nan,2.587990e-01,9.090909e-04,0.000000e+00
54,2,nan,nan,6.551374e-05,nan,2.386589e+01,0.000000e+00,1.100000e+02,9.994882e-01,nan,2.391534e-01,9.090909e-04,0.000000e+00
55,0,7.485656e-02,4.994701e-03,5.294174e-05,7.610050e-02,2.427285e+01,0.000000e+00,1.100000e+02,1.004495e+00,nan,2.904896e-01,8.928571e-04,0.000000e+00
