k,img,e_abs,e_rel,delta,resid,psnr,inner_k,inner_cum,tv_ratio,ref_check,alpha,beta,m_k
30,2,4.906199e-02,1.124224e-03,3.946234e-02,9.067903e-02,2.418185e+01,2.000000e+00,6.200000e+01,9.937231e-01,nan,1.257506e-03,1.612903e-03,2.000000e+00
31,0,nan,nan,2.763313e-02,nan,2.424755e+01,2.000000e+00,6.400000e+01,1.000579e+00,nan,1.700976e-03,1.562500e-03,2.000000e+00
31,1,nan,nan,3.684706e-02,nan,2.401477e+01,2.000000e+00,6.400000e+01,1.007820e+00,nan,1.263469e-03,1.562500e-03,2.000000e+00
31,2,nan,nan,3.800073e-02,nan,2.420083e+01,2.000000e+00,6.400000e+01,9.939016e-01,nan,1.237335e-03,1.562500e-03,2.000000e+00
32,0,nan,nan,2.668027e-02,nan,2.426287e+01,2.000000e+00,6.600000e+01,1.001472e+00,nan,1.661545e-03,1.515151e-03,2.000000e+00
32,1,nan,nan,3.638142e-02,nan,2.403210e+01,2.000000e+00,6.600000e+01,1.005488e+00,nan,1.246061e-03,1.515151e-03,2.000000e+00
32,2,nan,nan,3.690771e-02,nan,2.421701e+01,2.000000e+00,6.600000e+01,9.955021e-01,nan,1.208232e-03,1.515151e-03,2.000000e+00
33,0,nan,nan,2.571262e-02,nan,2.427784e+01,2.000000e+00,6.800000e+01,1.002507e+00,nan,1.621145e-03,1.470588e-03,2.000000e+00
33,1,nan,nan,3.612605e-02,nan,2.405080e+01,2.000000e+00,6.800000e+01,1.002138e+00,nan,1.188865e-03,1.470588e-03,2.000000e+00
33,2,nan,nan,3.597497e-02,nan,2.423106e+01,2.000000e+00,6.800000e+01,9.979218e-01,nan,1.171912e-03,1.470588e-03,2.000000e+00
34,0,nan,nan,2.469738e-02,nan,2.429227e+01,2.000000e+00,7.000000e+01,1.003564e+00,nan,1.587404e-03,1.428571e-03,2.000000e+00
34,1,nan,nan,3.518584e-02,nan,2.406901e+01,2.000000e+00,7.000000e+01,9.988704e-01,nan,1.129831e-03,1.428571e-03,2.000000e+00
34,2,nan,nan,3.497424e-02,nan,2.424378e+01,2.000000e+00,7.000000e+01,1.000532e+00,nan,1.134576e-03,1.428571e-03,2.000000e+00
35,0,3.258966e-02,2.166913e-03,2.365310e-02,5.222582e-02,2.430604e+01,2.000000e+00,7.200000e+01,1.004629e+00,nan,1.562119e-03,1.388889e-03,2.000000e+00
35,1,4.056975e-02,9.983928e-04,3.370270e-02,7.617351e-02,2.408512e+01,2.000000e+00,7.200000e+01,9.964672e-01,nan,1.096471e-03,1.388889e-03,2.000000e+00
35,2,4.003252e-02,9.167363e-04,3.382621e-02,7.654485e-02,2.425599e+01,2.000000e+00,7.200000e+01,1.002845e+00,nan,1.103105e-03,1.388889e-03,2.000000e+00
36,0,nan,nan,2.262804e-02,nan,2.431904e+01,2.000000e+00,7.400000e+01,1.005578e+00,nan,1.544111e-03,1.351351e-03,2.000000e+00
36,1,nan,nan,3.223057e-02,nan,2.409819e+01,2.000000e+00,7.400000e+01,9.954154e-01,nan,1.083682e-03,1.351351e-03,2.000000e+00
36,2,nan,nan,3.263627e-02,nan,2.426834e+01,2.000000e+00,7.400000e+01,1.004352e+00,nan,1.079725e-03,1.351351e-03,2.000000e+00
37,0,nan,nan,2.165376e-02,nan,2.433121e+01,2.000000e+00,7.600000e+01,1.006235e+00,nan,1.530227e-03,1.315790e-03,2.000000e+00
37,1,nan,nan,3.123441e-02,nan,2.410803e+01,2.000000e+00,7.600000e+01,9.957379e-01,nan,1.074323e-03,1.315790e-03,2.000000e+00
37,2,nan,nan,3.159918e-02,nan,2.428123e+01,2.000000e+00,7.600000e+01,1.004811e+00,nan,1.060968e-03,1.315790e-03,2.000000e+00
38,0,nan,nan,2.077471e-02,nan,2.434251e+01,2.000000e+00,7.800000e+01,1.006527e+00,nan,1.518125e-03,1.282051e-03,2.000000e+00
38,1,nan,nan,3.070352e-02,nan,2.411515e+01,2.000000e+00,7.800000e+01,9.971713e-01,nan,1.052465e-03,1.282051e-03,2.000000e+00
38,2,nan,nan,3.079663e-02,nan,2.429471e+01,2.000000e+00,7.800000e+01,1.004316e+00,nan,1.040315e-03,1.282051e-03,2.000000e+00
39,0,nan,nan,1.998834e-02,nan,2.435292e+01,2.000000e+00,8.000000e+01,1.006614e+00,nan,1.504233e-03,1.250000e-03,2.000000e+00
39,1,nan,nan,3.023064e-02,nan,2.412050e+01,2.000000e+00,8.000000e+01,9.991962e-01,nan,1.017799e-03,1.250000e-03,2.000000e+00
39,2,nan,nan,3.016675e-02,nan,2.430860e+01,2.000000e+00,8.000000e+01,1.003101e+00,nan,1.014722e-03,1.250000e-03,2.000000e+00
40,0,2.989703e-02,1.985760e-03,1.926730e-02,4.519697e-02,2.436249e+01,2.000000e+00,8.200000e+01,1.006479e+00,nan,1.488078e-03,1.219512e-03,2.000000e+00
40,1,3.457465e-02,8.503929e-04,2.950718e-02,6.632983e-02,2.412525e+01,2.000000e+00,8.200000e+01,1.001202e+00,nan,9.839091e-04,1.219512e-03,2.000000e+00
40,2,3.489028e-02,7.985833e-04,2.958115e-02,6.707939e-02,2.432250e+01,2.000000e+00,8.200000e+01,1.001502e+00,nan,9.859928e-04,1.219512e-03,2.000000e+00
41,0,nan,nan,1.859572e-02,nan,2.437125e+01,2.000000e+00,8.400000e+01,1.006234e+00,nan,1.471128e-03,1.190476e-03,2.000000e+00
41,1,nan,nan,2.854989e-02,nan,2.413049e+01,2.000000e+00,8.400000e+01,1.002674e+00,nan,9.606024e-04,1.190476e-03,2.000000e+00
41,2,nan,nan,2.892603e-02,nan,2.433592e+01,2.000000e+00,8.400000e+01,9.998693e-01,nan,9.582004e-04,1.190476e-03,2.000000e+00
42,0,nan,nan,1.795080e-02,nan,2.437924e+01,2.000000e+00,8.600000e+01,1.005912e+00,nan,1.454187e-03,1.162791e-03,2.000000e+00
42,1,nan,nan,2.763757e-02,nan,2.413687e+01,2.000000e+00,8.600000e+01,1.003296e+00,nan,9.471716e-04,1.162791e-03,2.000000e+00
42,2,nan,nan,2.819326e-02,nan,2.434841e+01,2.000000e+00,8.600000e+01,9.985399e-01,nan,9.348550e-04,1.162791e-03,2.000000e+00
43,0,nan,nan,1.735005e-02,nan,2.438651e+01,2.000000e+00,8.800000e+01,1.005501e+00,nan,1.438735e-03,1.136364e-03,2.000000e+00
43,1,nan,nan,2.700285e-02,nan,2.414457e+01,2.000000e+00,8.800000e+01,1.003008e+00,nan,9.344688e-04,1.136364e-03,2.000000e+00
43,2,nan,nan,2.744529e-02,nan,2.435964e+01,2.000000e+00,8.800000e+01,9.977795e-01,nan,9.160503e-04,1.136364e-03,2.000000e+00
44,0,nan,nan,1.678236e-02,nan,2.439311e+01,2.000000e+00,9.000000e+01,1.005073e+00,nan,1.423129e-03,1.111111e-03,2.000000e+00
44,1,nan,nan,2.661167e-02,nan,2.415328e+01,2.000000e+00,9.000000e+01,1.002024e+00,nan,9.143982e-04,1.111111e-03,2.000000e+00
44,2,nan,nan,2.674609e-02,nan,2.436950e+01,2.000000e+00,9.000000e+01,9.976498e-01,nan,8.996574e-04,1.111111e-03,2.000000e+00
45,0,2.776369e-02,1.842581e-03,1.621335e-02,4.010116e-02,2.439913e+01,2.000000e+00,9.200000e+01,1.004703e+00,nan,1.407995e-03,1.086956e-03,2.000000e+00
45,1,3.091504e-02,7.600472e-04,2.624449e-02,5.949321e-02,2.416235e+01,2.000000e+00,9.200000e+01,1.000694e+00,nan,8.879370e-04,1.086956e-03,2.000000e+00
45,2,3.148611e-02,7.203721e-04,2.612176e-02,5.975175e-02,2.437807e+01,2.000000e+00,9.200000e+01,9.981121e-01,nan,8.834744e-04,1.086956e-03,2.000000e+00
46,0,nan,nan,1.565380e-02,nan,2.440465e+01,2.000000e+00,9.400000e+01,1.004356e+00,nan,1.396052e-03,1.063830e-03,2.000000e+00
46,1,nan,nan,2.574386e-02,nan,2.417102e+01,2.000000e+00,9.400000e+01,9.994018e-01,nan,8.624545e-04,1.063830e-03,2.000000e+00
46,2,nan,nan,2.556709e-02,nan,2.438561e+01,2.000000e+00,9.400000e+01,9.989790e-01,nan,8.665065e-04,1.063830e-03,2.000000e+00
47,0,nan,nan,1.512966e-02,nan,2.440970e+01,2.000000e+00,9.600000e+01,1.004045e+00,nan,1.386333e-03,1.041667e-03,2.000000e+00
47,1,nan,nan,2.512301e-02,nan,2.417863e+01,2.000000e+00,9.600000e+01,9.984549e-01,nan,8.429734e-04,1.041667e-03,2.000000e+00
47,2,nan,nan,2.503508e-02,nan,2.439242e+01,2.000000e+00,9.600000e+01,1.000019e+00,nan,8.488016e-04,1.041667e-03,2.000000e+00
48,0,nan,nan,1.463359e-02,nan,2.441432e+01,2.000000e+00,9.800000e+01,1.003773e+00,nan,1.376413e-03,1.020408e-03,2.000000e+00
48,1,nan,nan,2.451302e-02,nan,2.418478e+01,2.000000e+00,9.800000e+01,9.980451e-01,nan,8.289078e-04,1.020408e-03,2.000000e+00
48,2,nan,nan,2.448452e-02,nan,2.439886e+01,2.000000e+00,9.800000e+01,1.000980e+00,nan,8.318192e-04,1.020408e-03,2.000000e+00
49,0,nan,nan,1.416230e-02,nan,2.441854e+01,2.000000e+00,1.000000e+02,1.003558e+00,nan,1.366719e-03,1.000000e-03,2.000000e+00
49,1,nan,nan,2.401874e-02,nan,2.418943e+01,2.000000e+00,1.000000e+02,9.982144e-01,nan,8.158931e-04,1.000000e-03,2.000000e+00
49,2,nan,nan,2.392085e-02,nan,2.440526e+01,2.000000e+00,1.000000e+02,1.001690e+00,nan,8.168425e-04,1.000000e-03,2.000000e+00
50,0,2.400547e-02,1.592103e-03,1.372592e-02,3.451705e-02,2.442238e+01,2.000000e+00,1.020000e+02,1.003360e+00,nan,1.357363e-03,9.803922e-04,2.000000e+00
50,1,2.835168e-02,6.967642e-04,2.362394e-02,5.413461e-02,2.419280e+01,2.000000e+00,1.020000e+02,9.988291e-01,nan,8.003492e-04,9.803922e-04,2.000000e+00
50,2,2.802806e-02,6.410399e-04,2.338817e-02,5.347890e-02,2.441182e+01,2.000000e+00,1.020000e+02,1.002038e+00,nan,8.036243e-04,9.803922e-04,2.000000e+00
51,0,nan,nan,1.331360e-02,nan,2.442588e+01,2.000000e+00,1.040000e+02,1.003167e+00,nan,1.347168e-03,9.615385e-04,2.000000e+00
51,1,nan,nan,2.325334e-02,nan,2.419532e+01,2.000000e+00,1.040000e+02,9.996845e-01,nan,7.827282e-04,9.615385e-04,2.000000e+00
51,2,nan,nan,2.291390e-02,nan,2.441861e+01,2.000000e+00,1.040000e+02,1.001989e+00,nan,7.906186e-04,9.615385e-04,2.000000e+00
52,0,nan,nan,1.290334e-02,nan,2.442912e+01,2.000000e+00,1.060000e+02,1.003011e+00,nan,1.336974e-03,9.433962e-04,2.000000e+00
52,1,nan,nan,2.283387e-02,nan,2.419750e+01,2.000000e+00,1.060000e+02,1.000537e+00,nan,7.654782e-04,9.433962e-04,2.000000e+00
52,2,nan,nan,2.247053e-02,nan,2.442554e+01,2.000000e+00,1.060000e+02,1.001661e+00,nan,7.768179e-04,9.433962e-04,2.000000e+00
53,0,nan,nan,1.251257e-02,nan,2.443220e+01,2.000000e+00,1.080000e+02,1.002869e+00,nan,1.328864e-03,9.259259e-04,2.000000e+00
53,1,nan,nan,2.237149e-02,nan,2.419983e+01,2.000000e+00,1.080000e+02,1.001158e+00,nan,7.509362e-04,9.259259e-04,2.000000e+00
53,2,nan,nan,2.203414e-02,nan,2.443248e+01,2.000000e+00,1.080000e+02,1.001158e+00,nan,7.630784e-04,9.259259e-04,2.000000e+00
54,0,nan,nan,1.213004e-02,nan,2.443512e+01,2.000000e+00,1.100000e+02,1.002774e+00,nan,1.320986e-03,9.090909e-04,2.000000e+00
54,1,nan,nan,2.192779e-02,nan,2.420262e+01,2.000000e+00,1.100000e+02,1.001438e+00,nan,7.388387e-04,9.090909e-04,2.000000e+00
54,2,nan,nan,2.161933e-02,nan,2.443924e+01,2.000000e+00,1.100000e+02,1.000548e+00,nan,7.501507e-04,9.090909e-04,2.000000e+00
55,0,1.948684e-02,1.291723e-03,1.173659e-02,2.890585e-02,2.443781e+01,2.000000e+00,1.120000e+02,1.002688e+00,nan,1.314412e-03,8.928571e-04,2.000000e+00
