k,img,e_abs,e_rel,delta,resid,psnr,inner_k,inner_cum,tv_ratio,ref_check,alpha,beta,m_k
19,2,nan,nan,8.111455e-02,nan,2.342059e+01,5.000000e+00,1.000000e+02,1.000167e+00,nan,1.460365e-03,2.500000e-03,5.000000e+00
20,0,6.519679e-02,4.389621e-03,2.674943e-02,7.102802e-02,2.648586e+01,5.000000e+00,1.050000e+02,1.006846e+00,nan,3.913412e-03,2.380952e-03,5.000000e+00
20,1,2.236577e-02,5.529076e-04,8.014455e-02,1.098382e-01,2.342259e+01,5.000000e+00,1.050000e+02,1.000065e+00,nan,1.350833e-03,2.380952e-03,5.000000e+00
20,2,2.171033e-02,4.988223e-04,7.703681e-02,1.064156e-01,2.348059e+01,5.000000e+00,1.050000e+02,1.000172e+00,nan,1.397760e-03,2.380952e-03,5.000000e+00
21,0,nan,nan,2.387594e-02,nan,2.647961e+01,5.000000e+00,1.100000e+02,1.006075e+00,nan,3.861980e-03,2.272727e-03,5.000000e+00
21,1,nan,nan,7.668388e-02,nan,2.348255e+01,5.000000e+00,1.100000e+02,1.000108e+00,nan,1.288993e-03,2.272727e-03,5.000000e+00
21,2,nan,nan,7.350468e-02,nan,2.353712e+01,5.000000e+00,1.100000e+02,1.000164e+00,nan,1.340993e-03,2.272727e-03,5.000000e+00
22,0,nan,nan,2.120792e-02,nan,2.647391e+01,5.000000e+00,1.150000e+02,1.005277e+00,nan,3.958712e-03,2.173913e-03,5.000000e+00
22,1,nan,nan,7.353204e-02,nan,2.353924e+01,5.000000e+00,1.150000e+02,1.000122e+00,nan,1.232566e-03,2.173913e-03,5.000000e+00
22,2,nan,nan,7.026445e-02,nan,2.359067e+01,5.000000e+00,1.150000e+02,1.000128e+00,nan,1.285877e-03,2.173913e-03,5.000000e+00
23,0,nan,nan,1.953292e-02,nan,2.646889e+01,5.000000e+00,1.200000e+02,1.004531e+00,nan,4.093072e-03,2.083333e-03,5.000000e+00
23,1,nan,nan,7.068457e-02,nan,2.359295e+01,5.000000e+00,1.200000e+02,1.000058e+00,nan,1.180513e-03,2.083333e-03,5.000000e+00
23,2,nan,nan,6.725695e-02,nan,2.364127e+01,5.000000e+00,1.200000e+02,1.000105e+00,nan,1.235412e-03,2.083333e-03,5.000000e+00
24,0,nan,nan,1.823922e-02,nan,2.646456e+01,5.000000e+00,1.250000e+02,1.003999e+00,nan,4.095650e-03,2.000000e-03,5.000000e+00
24,1,nan,nan,6.809085e-02,nan,2.364373e+01,5.000000e+00,1.250000e+02,1.000028e+00,nan,1.131789e-03,2.000000e-03,5.000000e+00
24,2,nan,nan,6.443691e-02,nan,2.368885e+01,5.000000e+00,1.250000e+02,1.000134e+00,nan,1.189468e-03,2.000000e-03,5.000000e+00
25,0,4.948704e-02,3.329344e-03,1.615536e-02,5.338698e-02,2.646191e+01,5.000000e+00,1.300000e+02,1.003717e+00,nan,4.055244e-03,1.923077e-03,5.000000e+00
25,1,1.834368e-02,4.528172e-04,6.568722e-02,8.998024e-02,2.369162e+01,5.000000e+00,1.300000e+02,1.000053e+00,nan,1.086262e-03,1.923077e-03,5.000000e+00
25,2,1.740213e-02,3.993162e-04,6.177894e-02,8.496778e-02,2.373349e+01,5.000000e+00,1.300000e+02,1.000137e+00,nan,1.147859e-03,1.923077e-03,5.000000e+00
26,0,nan,nan,1.406955e-02,nan,2.646175e+01,5.000000e+00,1.350000e+02,1.003455e+00,nan,4.245471e-03,1.851852e-03,5.000000e+00
26,1,nan,nan,6.336235e-02,nan,2.373674e+01,5.000000e+00,1.350000e+02,1.000102e+00,nan,1.044147e-03,1.851852e-03,5.000000e+00
26,2,nan,nan,5.915533e-02,nan,2.377584e+01,5.000000e+00,1.350000e+02,1.000160e+00,nan,1.110202e-03,1.851852e-03,5.000000e+00
27,0,nan,nan,1.284785e-02,nan,2.646292e+01,5.000000e+00,1.400000e+02,1.003132e+00,nan,4.532875e-03,1.785714e-03,5.000000e+00
27,1,nan,nan,6.108583e-02,nan,2.377930e+01,5.000000e+00,1.400000e+02,1.000117e+00,nan,1.006520e-03,1.785714e-03,5.000000e+00
27,2,nan,nan,5.695564e-02,nan,2.381636e+01,5.000000e+00,1.400000e+02,1.000113e+00,nan,1.078103e-03,1.785714e-03,5.000000e+00
28,0,nan,nan,1.187488e-02,nan,2.646434e+01,5.000000e+00,1.450000e+02,1.002953e+00,nan,4.627469e-03,1.724138e-03,5.000000e+00
28,1,nan,nan,5.899457e-02,nan,2.381948e+01,5.000000e+00,1.450000e+02,1.000117e+00,nan,9.732704e-04,1.724138e-03,5.000000e+00
28,2,nan,nan,5.496551e-02,nan,2.385489e+01,5.000000e+00,1.450000e+02,1.000091e+00,nan,1.043848e-03,1.724138e-03,5.000000e+00
29,0,nan,nan,1.091578e-02,nan,2.646557e+01,5.000000e+00,1.500000e+02,1.002864e+00,nan,4.678411e-03,1.666667e-03,5.000000e+00
29,1,nan,nan,5.700410e-02,nan,2.385752e+01,5.000000e+00,1.500000e+02,1.000120e+00,nan,9.417064e-04,1.666667e-03,5.000000e+00
29,2,nan,nan,5.311089e-02,nan,2.389135e+01,5.000000e+00,1.500000e+02,1.000095e+00,nan,1.010735e-03,1.666667e-03,5.000000e+00
30,0,4.238584e-02,2.850459e-03,1.017757e-02,4.555507e-02,2.646663e+01,5.000000e+00,1.550000e+02,1.002715e+00,nan,4.766414e-03,1.612903e-03,5.000000e+00
30,1,1.550848e-02,3.824216e-04,5.509936e-02,7.551568e-02,2.389348e+01,5.000000e+00,1.550000e+02,1.000110e+00,nan,9.127263e-04,1.612903e-03,5.000000e+00
30,2,1.458450e-02,3.343512e-04,5.129379e-02,7.103197e-02,2.392591e+01,5.000000e+00,1.550000e+02,1.000133e+00,nan,9.796321e-04,1.612903e-03,5.000000e+00
31,0,nan,nan,9.659756e-03,nan,2.646764e+01,5.000000e+00,1.600000e+02,1.002535e+00,nan,4.797623e-03,1.562500e-03,5.000000e+00
31,1,nan,nan,5.333941e-02,nan,2.392744e+01,5.000000e+00,1.600000e+02,1.000098e+00,nan,8.861832e-04,1.562500e-03,5.000000e+00
31,2,nan,nan,4.967492e-02,nan,2.395880e+01,5.000000e+00,1.600000e+02,1.000122e+00,nan,9.519306e-04,1.562500e-03,5.000000e+00
32,0,nan,nan,9.152644e-03,nan,2.646868e+01,5.000000e+00,1.650000e+02,1.002384e+00,nan,4.753090e-03,1.515151e-03,5.000000e+00
32,1,nan,nan,5.173206e-02,nan,2.395963e+01,5.000000e+00,1.650000e+02,1.000084e+00,nan,8.607834e-04,1.515151e-03,5.000000e+00
32,2,nan,nan,4.817989e-02,nan,2.399007e+01,5.000000e+00,1.650000e+02,1.000103e+00,nan,9.242829e-04,1.515151e-03,5.000000e+00
33,0,nan,nan,7.913888e-03,nan,2.647004e+01,5.000000e+00,1.700000e+02,1.002383e+00,nan,4.725694e-03,1.470588e-03,5.000000e+00
33,1,nan,nan,5.027618e-02,nan,2.399016e+01,5.000000e+00,1.700000e+02,1.000082e+00,nan,8.360888e-04,1.470588e-03,5.000000e+00
33,2,nan,nan,4.676498e-02,nan,2.401977e+01,5.000000e+00,1.700000e+02,1.000113e+00,nan,8.977313e-04,1.470588e-03,5.000000e+00
34,0,nan,nan,6.996053e-03,nan,2.647151e+01,5.000000e+00,1.750000e+02,1.002381e+00,nan,5.157556e-03,1.428571e-03,5.000000e+00
34,1,nan,nan,4.886300e-02,nan,2.401908e+01,5.000000e+00,1.750000e+02,1.000080e+00,nan,8.118422e-04,1.428571e-03,5.000000e+00
34,2,nan,nan,4.535482e-02,nan,2.404804e+01,5.000000e+00,1.750000e+02,1.000162e+00,nan,8.727967e-04,1.428571e-03,5.000000e+00
35,0,3.843435e-02,2.584112e-03,6.383229e-03,4.049952e-02,2.647269e+01,5.000000e+00,1.800000e+02,1.002337e+00,nan,5.514574e-03,1.388889e-03,5.000000e+00
35,1,1.342559e-02,3.307849e-04,4.746563e-02,6.515277e-02,2.404642e+01,5.000000e+00,1.800000e+02,1.000105e+00,nan,7.895595e-04,1.388889e-03,5.000000e+00
35,2,1.269406e-02,2.908069e-04,4.402489e-02,6.103426e-02,2.407501e+01,5.000000e+00,1.800000e+02,1.000156e+00,nan,8.506316e-04,1.388889e-03,5.000000e+00
36,0,nan,nan,5.987120e-03,nan,2.647353e+01,5.000000e+00,1.850000e+02,1.002229e+00,nan,5.721713e-03,1.351351e-03,5.000000e+00
36,1,nan,nan,4.614299e-02,nan,2.407227e+01,5.000000e+00,1.850000e+02,1.000139e+00,nan,7.694621e-04,1.351351e-03,5.000000e+00
36,2,nan,nan,4.283878e-02,nan,2.410069e+01,5.000000e+00,1.850000e+02,1.000094e+00,nan,8.295990e-04,1.351351e-03,5.000000e+00
37,0,nan,nan,5.722629e-03,nan,2.647411e+01,5.000000e+00,1.900000e+02,1.002098e+00,nan,5.783421e-03,1.315790e-03,5.000000e+00
37,1,nan,nan,4.492965e-02,nan,2.409684e+01,5.000000e+00,1.900000e+02,1.000124e+00,nan,7.504073e-04,1.315790e-03,5.000000e+00
37,2,nan,nan,4.172477e-02,nan,2.412504e+01,5.000000e+00,1.900000e+02,1.000090e+00,nan,8.082872e-04,1.315790e-03,5.000000e+00
38,0,nan,nan,5.430649e-03,nan,2.647451e+01,5.000000e+00,1.950000e+02,1.002006e+00,nan,5.744406e-03,1.282051e-03,5.000000e+00
38,1,nan,nan,4.379121e-02,nan,2.412027e+01,5.000000e+00,1.950000e+02,1.000103e+00,nan,7.316573e-04,1.282051e-03,5.000000e+00
38,2,nan,nan,4.058623e-02,nan,2.414816e+01,5.000000e+00,1.950000e+02,1.000138e+00,nan,7.878559e-04,1.282051e-03,5.000000e+00
39,0,nan,nan,5.078814e-03,nan,2.647482e+01,5.000000e+00,2.000000e+02,1.001942e+00,nan,5.754378e-03,1.250000e-03,5.000000e+00
39,1,nan,nan,4.271278e-02,nan,2.414263e+01,5.000000e+00,2.000000e+02,1.000078e+00,nan,7.136136e-04,1.250000e-03,5.000000e+00
39,2,nan,nan,3.950007e-02,nan,2.417013e+01,5.000000e+00,2.000000e+02,1.000131e+00,nan,7.699656e-04,1.250000e-03,5.000000e+00
40,0,3.497315e-02,2.351075e-03,4.732922e-03,3.664140e-02,2.647507e+01,5.000000e+00,2.050000e+02,1.001905e+00,nan,5.856525e-03,1.219512e-03,5.000000e+00
40,1,1.165000e-02,2.868427e-04,4.168852e-02,5.733155e-02,2.416391e+01,5.000000e+00,2.050000e+02,1.000063e+00,nan,6.963770e-04,1.219512e-03,5.000000e+00
40,2,1.092317e-02,2.500961e-04,3.824783e-02,5.247469e-02,2.419110e+01,5.000000e+00,2.050000e+02,1.000169e+00,nan,7.530165e-04,1.219512e-03,5.000000e+00
