k,img,e_abs,e_rel,delta,resid,psnr,inner_k,inner_cum,tv_ratio,ref_check,alpha,beta,m_k
28,1,nan,nan,2.496870e-04,nan,2.273611e+01,0.000000e+00,4.420000e+02,1.000598e+00,nan,2.213823e-01,1.724138e-03,0.000000e+00
28,2,nan,nan,2.659395e-04,nan,2.277670e+01,0.000000e+00,4.420000e+02,9.996431e-01,nan,2.078932e-01,1.724138e-03,0.000000e+00
29,0,nan,nan,2.183664e-04,nan,2.642632e+01,0.000000e+00,4.420000e+02,1.004211e+00,nan,2.374868e-01,1.666667e-03,0.000000e+00
29,1,nan,nan,2.329399e-04,nan,2.273626e+01,0.000000e+00,4.420000e+02,1.000598e+00,nan,2.225008e-01,1.666667e-03,0.000000e+00
29,2,nan,nan,2.479829e-04,nan,2.277686e+01,0.000000e+00,4.420000e+02,9.996431e-01,nan,2.089030e-01,1.666667e-03,0.000000e+00
30,0,7.328682e-02,4.942204e-03,2.042376e-04,7.387006e-02,2.642611e+01,0.000000e+00,4.420000e+02,1.004211e+00,nan,2.382653e-01,1.612903e-03,0.000000e+00
30,1,1.682063e-01,4.171738e-03,2.180177e-04,1.737382e-01,2.273639e+01,0.000000e+00,4.420000e+02,1.000598e+00,nan,2.233586e-01,1.612903e-03,0.000000e+00
30,2,1.687438e-01,3.888888e-03,2.322427e-04,1.742693e-01,2.277700e+01,0.000000e+00,4.420000e+02,9.996431e-01,nan,2.098094e-01,1.612903e-03,0.000000e+00
31,0,nan,nan,1.914997e-04,nan,2.642591e+01,0.000000e+00,4.420000e+02,1.004211e+00,nan,2.390751e-01,1.562500e-03,0.000000e+00
31,1,nan,nan,2.047794e-04,nan,2.273652e+01,0.000000e+00,4.420000e+02,1.000598e+00,nan,2.239640e-01,1.562500e-03,0.000000e+00
31,2,nan,nan,2.179761e-04,nan,2.277713e+01,0.000000e+00,4.420000e+02,9.996431e-01,nan,2.102461e-01,1.562500e-03,0.000000e+00
