k,img,e_abs,e_rel,delta,resid,psnr,inner_k,inner_cum,tv_ratio,ref_check,alpha,beta,m_k
22,1,nan,nan,5.180634e-02,nan,2.364556e+01,3.000000e+00,1.593000e+03,1.000098e+00,nan,1.781964e-03,2.173913e-03,3.000000e+00
22,2,nan,nan,4.968134e-02,nan,2.366563e+01,3.000000e+00,1.593000e+03,1.000133e+00,nan,1.852363e-03,2.173913e-03,3.000000e+00
23,0,nan,nan,8.142681e-03,nan,2.644667e+01,3.000000e+00,1.596000e+03,1.000352e+00,nan,1.005350e-02,2.083333e-03,3.000000e+00
23,1,nan,nan,5.041392e-02,nan,2.368235e+01,3.000000e+00,1.596000e+03,1.000090e+00,nan,1.675578e-03,2.083333e-03,3.000000e+00
23,2,nan,nan,4.817840e-02,nan,2.370090e+01,3.000000e+00,1.596000e+03,1.000089e+00,nan,1.747247e-03,2.083333e-03,3.000000e+00
24,0,nan,nan,7.700559e-03,nan,2.644736e+01,3.000000e+00,1.599000e+03,1.000346e+00,nan,9.824774e-03,2.000000e-03,3.000000e+00
24,1,nan,nan,4.909655e-02,nan,2.371758e+01,3.000000e+00,1.599000e+03,1.000088e+00,nan,1.586863e-03,2.000000e-03,3.000000e+00
24,2,nan,nan,4.679900e-02,nan,2.373462e+01,3.000000e+00,1.599000e+03,1.000100e+00,nan,1.660495e-03,2.000000e-03,3.000000e+00
25,0,1.322062e-02,8.891942e-04,7.322465e-03,1.916360e-02,2.644785e+01,3.000000e+00,1.602000e+03,1.000323e+00,nan,9.605082e-03,1.923077e-03,3.000000e+00
25,1,3.176162e-02,7.837187e-04,4.779588e-02,8.574402e-02,2.375126e+01,3.000000e+00,1.602000e+03,1.000092e+00,nan,1.506511e-03,1.923077e-03,3.000000e+00
25,2,3.022842e-02,6.934277e-04,4.542458e-02,8.187068e-02,2.376691e+01,3.000000e+00,1.602000e+03,1.000119e+00,nan,1.580472e-03,1.923077e-03,3.000000e+00
26,0,nan,nan,6.992071e-03,nan,2.644826e+01,3.000000e+00,1.605000e+03,1.000300e+00,nan,9.366670e-03,1.851852e-03,3.000000e+00
26,1,nan,nan,4.655377e-02,nan,2.378346e+01,3.000000e+00,1.605000e+03,1.000109e+00,nan,1.435000e-03,1.851852e-03,3.000000e+00
