k,img,e_abs,e_rel,delta,resid,psnr,inner_k,inner_cum,tv_ratio,ref_check,alpha,beta,m_k
17,0,nan,nan,3.546179e-02,nan,2.649460e+01,7.000000e+00,9.900000e+01,1.006956e+00,nan,3.760697e-03,2.777778e-03,7.000000e+00
17,1,nan,nan,1.002688e-01,nan,2.327188e+01,7.000000e+00,9.900000e+01,1.000052e+00,nan,1.452640e-03,2.777778e-03,7.000000e+00
17,2,nan,nan,9.757510e-02,nan,2.333924e+01,7.000000e+00,9.900000e+01,1.000024e+00,nan,1.486856e-03,2.777778e-03,7.000000e+00
18,0,nan,nan,3.131939e-02,nan,2.648800e+01,7.000000e+00,1.060000e+02,1.005899e+00,nan,3.905729e-03,2.631579e-03,7.000000e+00
18,1,nan,nan,9.490205e-02,nan,2.334853e+01,7.000000e+00,1.060000e+02,1.000029e+00,nan,1.381329e-03,2.631579e-03,7.000000e+00
18,2,nan,nan,9.187350e-02,nan,2.341167e+01,7.000000e+00,1.060000e+02,1.000058e+00,nan,1.419462e-03,2.631579e-03,7.000000e+00
19,0,nan,nan,2.777651e-02,nan,2.648199e+01,7.000000e+00,1.130000e+02,1.005031e+00,nan,3.991138e-03,2.500000e-03,7.000000e+00
19,1,nan,nan,9.004821e-02,nan,2.342015e+01,7.000000e+00,1.130000e+02,1.000051e+00,nan,1.317148e-03,2.500000e-03,7.000000e+00
19,2,nan,nan,8.666749e-02,nan,2.347930e+01,7.000000e+00,1.130000e+02,1.000095e+00,nan,1.360566e-03,2.500000e-03,7.000000e+00
20,0,5.573430e-02,3.752283e-03,2.516790e-02,6.238313e-02,2.647669e+01,8.000000e+00,1.210000e+02,1.004158e+00,nan,4.081820e-03,2.380952e-03,8.000000e+00
20,1,8.711996e-03,2.153085e-04,8.864135e-02,1.046510e-01,2.348962e+01,8.000000e+00,1.210000e+02,1.000066e+00,nan,1.259089e-03,2.380952e-03,8.000000e+00
20,2,8.464567e-03,1.944338e-04,8.498540e-02,1.009041e-01,2.354469e+01,8.000000e+00,1.210000e+02,1.000106e+00,nan,1.308203e-03,2.380952e-03,8.000000e+00
21,0,nan,nan,2.244562e-02,nan,2.647231e+01,8.000000e+00,1.290000e+02,1.003455e+00,nan,4.104664e-03,2.272727e-03,8.000000e+00
21,1,nan,nan,8.438307e-02,nan,2.355462e+01,8.000000e+00,1.290000e+02,1.000035e+00,nan,1.165436e-03,2.272727e-03,8.000000e+00
21,2,nan,nan,8.045790e-02,nan,2.360589e+01,8.000000e+00,1.290000e+02,1.000071e+00,nan,1.215571e-03,2.272727e-03,8.000000e+00
22,0,nan,nan,2.027635e-02,nan,2.646875e+01,8.000000e+00,1.370000e+02,1.003074e+00,nan,4.210975e-03,2.173913e-03,8.000000e+00
22,1,nan,nan,8.069814e-02,nan,2.361549e+01,8.000000e+00,1.370000e+02,1.000024e+00,nan,1.120106e-03,2.173913e-03,8.000000e+00
22,2,nan,nan,7.649662e-02,nan,2.366295e+01,8.000000e+00,1.370000e+02,1.000077e+00,nan,1.174750e-03,2.173913e-03,8.000000e+00
23,0,nan,nan,1.820685e-02,nan,2.646586e+01,8.000000e+00,1.450000e+02,1.002797e+00,nan,4.281124e-03,2.083333e-03,8.000000e+00
23,1,nan,nan,7.730068e-02,nan,2.367252e+01,8.000000e+00,1.450000e+02,1.000037e+00,nan,1.075682e-03,2.083333e-03,8.000000e+00
23,2,nan,nan,7.272469e-02,nan,2.371605e+01,8.000000e+00,1.450000e+02,1.000080e+00,nan,1.134763e-03,2.083333e-03,8.000000e+00
24,0,nan,nan,1.523589e-02,nan,2.646585e+01,8.000000e+00,1.530000e+02,1.002622e+00,nan,4.393950e-03,2.000000e-03,8.000000e+00
24,1,nan,nan,7.413795e-02,nan,2.372584e+01,8.000000e+00,1.530000e+02,1.000036e+00,nan,1.034920e-03,2.000000e-03,8.000000e+00
24,2,nan,nan,6.917390e-02,nan,2.376604e+01,8.000000e+00,1.530000e+02,1.000085e+00,nan,1.100039e-03,2.000000e-03,8.000000e+00
25,0,4.217053e-02,2.836846e-03,1.352001e-02,4.692671e-02,2.646764e+01,8.000000e+00,1.610000e+02,1.002470e+00,nan,4.854623e-03,1.923077e-03,8.000000e+00
25,1,7.071995e-03,1.745072e-04,7.098834e-02,8.390532e-02,2.377559e+01,8.000000e+00,1.610000e+02,1.000046e+00,nan,9.976604e-04,1.923077e-03,8.000000e+00
25,2,6.544738e-03,1.501285e-04,6.622498e-02,7.911447e-02,2.381325e+01,8.000000e+00,1.610000e+02,1.000068e+00,nan,1.069254e-03,1.923077e-03,8.000000e+00
26,0,nan,nan,1.244605e-02,nan,2.646945e+01,8.000000e+00,1.690000e+02,1.002326e+00,nan,5.073009e-03,1.851852e-03,8.000000e+00
26,1,nan,nan,6.818270e-02,nan,2.382215e+01,8.000000e+00,1.690000e+02,1.000058e+00,nan,9.661742e-04,1.851852e-03,8.000000e+00
26,2,nan,nan,6.355713e-02,nan,2.385769e+01,8.000000e+00,1.690000e+02,1.000061e+00,nan,1.035668e-03,1.851852e-03,8.000000e+00
27,0,nan,nan,1.157713e-02,nan,2.647075e+01,8.000000e+00,1.770000e+02,1.002200e+00,nan,5.124155e-03,1.785714e-03,8.000000e+00
27,1,nan,nan,6.554440e-02,nan,2.386576e+01,8.000000e+00,1.770000e+02,1.000056e+00,nan,9.353620e-04,1.785714e-03,8.000000e+00
27,2,nan,nan,6.098010e-02,nan,2.389954e+01,8.000000e+00,1.770000e+02,1.000077e+00,nan,1.003436e-03,1.785714e-03,8.000000e+00
28,0,nan,nan,1.078571e-02,nan,2.647164e+01,8.000000e+00,1.850000e+02,1.002101e+00,nan,5.135386e-03,1.724138e-03,8.000000e+00
28,1,nan,nan,6.306233e-02,nan,2.390658e+01,8.000000e+00,1.850000e+02,1.000046e+00,nan,9.070651e-04,1.724138e-03,8.000000e+00
