k,img,e_abs,e_rel,delta,resid,psnr,inner_k,inner_cum,tv_ratio,ref_check,alpha,beta,m_k
27,2,nan,nan,3.305638e-02,nan,2.431480e+01,3.000000e+00,3.260000e+02,1.000166e+00,nan,1.874280e-03,1.785714e-03,3.000000e+00
28,0,nan,nan,1.712062e-02,nan,2.448153e+01,3.000000e+00,3.290000e+02,1.001590e+00,nan,3.337207e-03,1.724138e-03,3.000000e+00
28,1,nan,nan,3.216215e-02,nan,2.414493e+01,3.000000e+00,3.290000e+02,1.000002e+00,nan,1.803009e-03,1.724138e-03,3.000000e+00
28,2,nan,nan,3.213871e-02,nan,2.432694e+01,3.000000e+00,3.290000e+02,1.000197e+00,nan,1.798534e-03,1.724138e-03,3.000000e+00
29,0,nan,nan,1.648943e-02,nan,2.448423e+01,3.000000e+00,3.320000e+02,1.001569e+00,nan,3.244951e-03,1.666667e-03,3.000000e+00
29,1,nan,nan,3.138539e-02,nan,2.415204e+01,3.000000e+00,3.320000e+02,1.000009e+00,nan,1.727358e-03,1.666667e-03,3.000000e+00
29,2,nan,nan,3.126532e-02,nan,2.433836e+01,3.000000e+00,3.320000e+02,1.000199e+00,nan,1.728618e-03,1.666667e-03,3.000000e+00
30,0,1.380647e-02,9.157371e-04,1.587181e-02,2.927399e-02,2.448652e+01,3.000000e+00,3.350000e+02,1.001549e+00,nan,3.155302e-03,1.612903e-03,3.000000e+00
30,1,2.048210e-02,5.034098e-04,3.064903e-02,5.577178e-02,2.415855e+01,3.000000e+00,3.350000e+02,1.000010e+00,nan,1.657750e-03,1.612903e-03,3.000000e+00
30,2,2.031255e-02,4.646471e-04,3.045024e-02,5.531776e-02,2.434914e+01,3.000000e+00,3.350000e+02,1.000183e+00,nan,1.664116e-03,1.612903e-03,3.000000e+00
31,0,nan,nan,1.528823e-02,nan,2.448845e+01,3.000000e+00,3.380000e+02,1.001506e+00,nan,3.076406e-03,1.562500e-03,3.000000e+00
31,1,nan,nan,2.994555e-02,nan,2.416448e+01,3.000000e+00,3.380000e+02,1.000024e+00,nan,1.593138e-03,1.562500e-03,3.000000e+00
31,2,nan,nan,2.969080e-02,nan,2.435933e+01,3.000000e+00,3.380000e+02,1.000132e+00,nan,1.603538e-03,1.562500e-03,3.000000e+00
32,0,nan,nan,1.474698e-02,nan,2.449003e+01,3.000000e+00,3.410000e+02,1.001462e+00,nan,3.003204e-03,1.515151e-03,3.000000e+00
32,1,nan,nan,2.926878e-02,nan,2.416988e+01,3.000000e+00,3.410000e+02,1.000040e+00,nan,1.533239e-03,1.515151e-03,3.000000e+00
32,2,nan,nan,2.896499e-02,nan,2.436892e+01,3.000000e+00,3.410000e+02,1.000083e+00,nan,1.546394e-03,1.515151e-03,3.000000e+00
33,0,nan,nan,1.422982e-02,nan,2.449129e+01,3.000000e+00,3.440000e+02,1.001433e+00,nan,2.932980e-03,1.470588e-03,3.000000e+00
33,1,nan,nan,2.863311e-02,nan,2.417482e+01,3.000000e+00,3.440000e+02,1.000049e+00,nan,1.477772e-03,1.470588e-03,3.000000e+00
33,2,nan,nan,2.826124e-02,nan,2.437790e+01,3.000000e+00,3.440000e+02,1.000058e+00,nan,1.493271e-03,1.470588e-03,3.000000e+00
34,0,nan,nan,1.373072e-02,nan,2.449226e+01,3.000000e+00,3.470000e+02,1.001428e+00,nan,2.868366e-03,1.428571e-03,3.000000e+00
34,1,nan,nan,2.801865e-02,nan,2.417933e+01,3.000000e+00,3.470000e+02,1.000059e+00,nan,1.425494e-03,1.428571e-03,3.000000e+00
34,2,nan,nan,2.758033e-02,nan,2.438630e+01,3.000000e+00,3.470000e+02,1.000064e+00,nan,1.444251e-03,1.428571e-03,3.000000e+00
35,0,1.481945e-02,9.822963e-04,1.015528e-02,2.517630e-02,2.449280e+01,2.000000e+00,3.490000e+02,1.001440e+00,nan,2.809777e-03,1.388889e-03,2.000000e+00
35,1,2.484926e-02,6.104832e-04,2.092756e-02,4.996292e-02,2.418250e+01,2.000000e+00,3.490000e+02,1.000060e+00,nan,1.376949e-03,1.388889e-03,2.000000e+00
35,2,2.429168e-02,5.554540e-04,2.055548e-02,4.897422e-02,2.439234e+01,2.000000e+00,3.490000e+02,1.000094e+00,nan,1.398832e-03,1.388889e-03,2.000000e+00
